,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
52,PJ Masks,5.4 (1k),"Animation , Action & Adventure , Kids & Family , Fantasy , Science-Fiction , Made in Europe ",16min,TV-G,NULL
53,Marvel's Runaways,6.9 (25k),"Science-Fiction , Action & Adventure , Drama , Documentary ",28min,TV-14,NULL
54,Cosmos: A Spacetime Odyssey,9.3 (120k),Documentary ,43min,TV-PG,NULL
55,Just Beyond,6.1 (1k),"Science-Fiction , Mystery & Thriller , Comedy , Drama , Fantasy , Horror ",28min,TV-PG,NULL
56,Marvel's Iron Fist,6.5 (126k),"Science-Fiction , Action & Adventure , Crime , Fantasy ",54min,TV-MA,NULL
57,Marvel's The Defenders,7.3,"Science-Fiction , Action & Adventure , Animation , Comedy , Fantasy , Crime ",50min,TV-MA,NULL
58,Cosmos: Possible Worlds,9.1 (6k),"Documentary , Mystery & Thriller , Science-Fiction , Drama ",43min,TV-PG,NULL
59,Gargoyles,8.1 (16k),"Science-Fiction , Action & Adventure , Mystery & Thriller , Fantasy , Romance , Comedy , Kids & Family , Animation , Crime , Drama ",22min,TV-G,NULL
60,DuckTales,8.1 (31k),"Science-Fiction , Animation , Kids & Family , Comedy , Fantasy , Action & Adventure ",21min,TV-Y7,NULL
61,Ultra Violet & Black Scorpion,4.8,"Kids & Family , Comedy ",24min,NULL,NULL
62,Welcome to Earth,7.9 (2k),"Documentary , Reality TV ",38min,TV-PG,NULL
63,The World According to Jeff Goldblum,7.7 (2k),"Documentary , Comedy ",26min,TV-PG,NULL
64,TRON: Uprising,8.2 (8k),"Action & Adventure , Animation , Kids & Family , Science-Fiction ",23min,TV-Y7,Charlie Bean 
65,Gordon Ramsay: Uncharted,7.7 (1k),"Documentary , Reality TV ",45min,TV-14,NULL
66,Kim Possible,7.2 (27k),"Action & Adventure , Romance , Science-Fiction , Animation , Comedy , Kids & Family ",21min,TV-G,NULL
67,Secrets of Sulphur Springs,7.6 (2k),"Drama , Kids & Family ",23min,TV-PG,NULL
68,Snowdrop,8.2 (9k),"War & Military , Mystery & Thriller , Crime , Drama , Romance ",1h 26min,TV-14,NULL
69,The Right Stuff,6.7 (3k),"Drama , History ",44min,TV-14,NULL
70,The Incredible Dr. Pol,8.5 (1k),"Reality TV , Documentary ",44min,TV-PG,NULL
71,Marvel Studios: Legends,6.5 (4k),"Science-Fiction , Action & Adventure , Fantasy ",7min,TV-14,NULL
72,DuckTales,8.2 (9k),"Animation , Kids & Family , Action & Adventure , Comedy , Fantasy , Science-Fiction ",24min,TV-Y7,NULL
73,Spidey and His Amazing Friends,5.6,"Comedy , Kids & Family , Fantasy , Science-Fiction , Animation , Action & Adventure ",23min,TV-Y7,NULL
74,Muppet Babies,6.4,"Comedy , Kids & Family , Fantasy , Science-Fiction , Animation ",22min,TV-Y,NULL
75,Star Wars Resistance,5.1 (5k),"Science-Fiction , Action & Adventure , Comedy , Drama , Kids & Family , Fantasy , Animation ",23min,TV-Y7,NULL
76,Darkwing Duck,7.6 (16k),"Comedy , Action & Adventure , Science-Fiction , Kids & Family , Crime , Fantasy , Animation ",22min,TV-G,NULL
77,Running Wild with Bear Grylls,7.6 (2k),"Reality TV , Action & Adventure , Comedy ",43min,TV-PG,NULL
78,Brain Games,8.3 (3k),"Documentary , Reality TV , Comedy , Drama , Kids & Family ",31min,TV-PG,NULL
79,Recess,7.9 (25k),"Animation , Comedy , Kids & Family ",16min,TV-G,NULL
80,Something Bit Me!,8.5,"Documentary , Reality TV ",42min,TV-14,NULL
81,Big City Greens,7.3 (2k),"Comedy , Kids & Family , Animation ",19min,TV-Y7,NULL
82,Delicacies Destiny,NULL,NULL,NULL,NULL,NULL
83,Marvel Studios: Assembled,7.9 (2k),Documentary ,58min,TV-14,NULL
84,TaleSpin,7.6 (14k),"Kids & Family , Fantasy , Animation , Action & Adventure , Comedy , Drama ",22min,TV-G,NULL
85,Star Wars: Forces of Destiny,5.2 (2k),"Science-Fiction , Action & Adventure , Animation , Drama , Kids & Family ",4min,TV-Y7,NULL
86,Marvel's Spider-Man,6.1 (2k),"Science-Fiction , Animation , Action & Adventure , Kids & Family ",24min,TV-G,NULL
87,Monsters at Work,7.0 (6k),"Comedy , Kids & Family , Fantasy , Animation ",27min,TV-G,NULL
88,Disney's Adventures of the Gummi Bears,7.5 (10k),"Animation , Kids & Family , Fantasy ",22min,TV-G,Art Vitello 
89,X-Men: Evolution,7.8 (11k),"Science-Fiction , Mystery & Thriller , Animation , Action & Adventure , Drama , Fantasy , Romance ",22min,TV-Y7,NULL
90,Jessie,5.9 (15k),"Comedy , Kids & Family , Drama ",26min,TV-G,NULL
91,Spider-Man,6.9 (1k),"Animation , Action & Adventure , Kids & Family , Fantasy , Science-Fiction ",22min,TV-Y7,NULL
92,Life Below Zero: Next Generation,5.1,Reality TV ,44min,TV-14,NULL
93,Star vs. the Forces of Evil,7.9 (14k),"Action & Adventure , Science-Fiction , Comedy , Fantasy , Kids & Family , Mystery & Thriller , Animation , Drama ",18min,TV-Y7,NULL
94,Dog Whisperer,7.9 (2k),"Kids & Family , Reality TV ",43min,TV-G,NULL
95,Wicked Tuna,6.3,"Reality TV , Action & Adventure ",45min,TV-14,NULL
96,grown-ish,6.3 (5k),"Comedy , Drama ",20min,TV-14,NULL
97,Behind the Attraction,7.7,Documentary ,42min,TV-PG,NULL
98,Secrets of the Zoo,8.3,"Reality TV , Documentary ",44min,TV-PG,NULL
99,Schoolhouse Rock!,8.2 (3k),"Animation , Kids & Family ",3min,NULL,NULL
100,The '80s: Top Ten,NULL,NULL,NULL,NULL,NULL
101,Big Shot,7.5 (3k),"Sport , Comedy , Drama ",46min,TV-PG,NULL
102,Doc McStuffins,6.6 (2k),"Animation , Kids & Family , Fantasy , Music & Musical ",22min,TV-G,NULL
103,Hannah Montana,5.1 (39k),"Comedy , Music & Musical , Kids & Family ",24min,TV-G,NULL
104,Little Einsteins,6.3 (1k),"Animation , Drama , Comedy , Kids & Family , Music & Musical , Science-Fiction ",25min,TV-Y,NULL
105,Mickey Mouse Clubhouse,5.7 (3k),"Kids & Family , Fantasy , Animation , Comedy ",27min,TV-Y,NULL
106,Dino Ranch,6.1,"Action & Adventure , Comedy , Kids & Family , Western , Animation ",12min,TV-Y,NULL
107,Ice Age: Scrat Tales,7.4 (1k),"Comedy , Animation , Kids & Family ",3min,TV-PG,NULL
108,Spider-Man and His Amazing Friends,7.2 (3k),"Action & Adventure , Science-Fiction , Animation , Comedy , Crime , Kids & Family ",25min,TV-Y7,NULL
109,The Avengers: Earth's Mightiest Heroes,8.3 (14k),"Science-Fiction , Animation , Action & Adventure , Kids & Family ",24min,TV-Y7,NULL
110,Dug Days,8.1 (3k),"Comedy , Kids & Family , Animation ",10min,TV-G,NULL
111,Lizzie McGuire,6.6 (19k),"Comedy , Kids & Family , Drama ",22min,TV-PG,NULL
112,Parallels,7.0 (1k),"Science-Fiction , Fantasy , Action & Adventure ",29min,TV-14,NULL
113,Wolverine and the X-Men,8.0 (10k),"Action & Adventure , Science-Fiction , Drama , Kids & Family , Animation ",23min,TV-Y7,NULL
114,LEGO Star Wars: The Freemaker Adventures,7.4 (1k),"Animation , Drama , Kids & Family , Comedy , Science-Fiction , Fantasy , Action & Adventure ",22min,TV-Y,NULL
115,Spider-Man Unlimited,6.3 (3k),"Action & Adventure , Crime , Kids & Family , Science-Fiction , Mystery & Thriller , Animation ",22min,TV-Y7,NULL
116,Once Upon a Time in Wonderland,6.9 (12k),"Science-Fiction , Romance , Drama , Fantasy ",43min,TV-PG,NULL
117,Marvel's Ultimate Spider-Man,7.1 (12k),"Action & Adventure , Comedy , Kids & Family , Science-Fiction , Animation ",22min,TV-Y7,NULL
118,One Strange Rock,8.7 (7k),Documentary ,47min,TV-G,NULL
119,K.C. Undercover,6.2 (4k),"Action & Adventure , Comedy , Drama , Kids & Family ",25min,TV-G,NULL
120,Raven's Home,7.1 (3k),"Comedy , Kids & Family ",24min,TV-G,NULL
121,So Weird,8.4 (2k),"Mystery & Thriller , Science-Fiction , Kids & Family ",24min,TV-PG,NULL
122,Port Protection Alaska,8.2,Reality TV ,48min,TV-14,NULL
123,The Incredible Hulk,6.7 (3k),"Action & Adventure , Animation , Fantasy , Science-Fiction ",22min,TV-Y7,NULL
124,The New Adventures of Winnie the Pooh,7.6 (4k),"Comedy , Animation , Kids & Family , Fantasy ",22min,TV-Y,NULL
125,Once,7.9,"Comedy , Kids & Family , Sport ",23min,NULL,NULL
126,Puppy Dog Pals,6.8 (1k),"Drama , Kids & Family , Animation , Comedy ",20min,TV-Y,NULL
127,Captain Jake and the Never Land Pirates,5.6 (1k),"Animation , Action & Adventure , Kids & Family , Fantasy ",26min,TV-Y,Howy Parkins 
128,The Suite Life of Zack & Cody,6.5 (36k),"Comedy , Kids & Family ",26min,TV-G,NULL
129,The Proud Family,6.5 (7k),"Animation , Comedy , Kids & Family , Fantasy ",22min,TV-Y,NULL
130,Andi Mack,7.1 (2k),"Drama , Comedy , Kids & Family ",25min,TV-G,NULL
