,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
60,Bridgerton,7.3 (126k),"Drama , Romance ",1h 2min,TV-MA,NULL
61,All American,7.6 (9k),"Drama , Sport ",42min,TV-14,NULL
62,Black Mirror,8.8 (521k),"Science-Fiction , Mystery & Thriller , Drama , Made in Europe ",59min,TV-MA,NULL
63,The Beauty Queen of Jerusalem,7.1,Drama ,31min,TV-MA,NULL
64,Cowboy Bebop,8.9 (114k),"Western , Drama , Science-Fiction , Mystery & Thriller , Animation , Action & Adventure , Comedy ",25min,TV-14,NULL
65,Chicago Med,7.6 (24k),Drama ,41min,TV-14,NULL
66,The Crown,8.7 (192k),"Drama , History , Made in Europe ",56min,TV-MA,NULL
67,Neon Genesis Evangelion,8.5 (65k),"Science-Fiction , Action & Adventure , Drama , Mystery & Thriller , Fantasy , Animation ",24min,TV-14,NULL
68,Friday Night Lights,8.7 (64k),"Drama , Sport ",43min,TV-14,NULL
69,My Little Pony: Friendship Is Magic,7.6 (20k),"Science-Fiction , Fantasy , Animation , Kids & Family , Comedy , Drama , Music & Musical ",22min,TV-Y7,NULL
70,Longmire,8.3 (34k),"Western , Drama , Action & Adventure , Crime ",53min,TV-14,NULL
71,Midnight Mass,7.7 (104k),"Fantasy , Horror , Action & Adventure , Drama , Science-Fiction ",1h 4min,TV-MA,NULL
72,Somebody Feed Phil,8.2 (4k),Documentary ,48min,TV-14,NULL
73,Love on the Spectrum,8.6 (5k),"Reality TV , Romance , Documentary ",42min,TV-14,NULL
74,Two Summers,6.9 (2k),"Drama , Mystery & Thriller ",46min,TV-PG,NULL
75,Squid Game,8.0 (422k),"Action & Adventure , Drama , Mystery & Thriller ",54min,TV-MA,NULL
76,The Bureau of Magical Things,6.7 (1k),"Science-Fiction , Kids & Family , Fantasy ",23min,TV-G,NULL
77,Riverdale,6.7 (140k),"Drama , Romance , Crime ",42min,TV-14,NULL
78,The Witcher,8.2 (469k),"Science-Fiction , Fantasy , Horror , Action & Adventure , Drama ",58min,TV-MA,NULL
79,Naruto,8.4 (95k),"Action & Adventure , Science-Fiction , Animation , Comedy , Mystery & Thriller , Fantasy ",23min,TV-PG,Hayato Date 
80,Gilmore Girls,8.2 (120k),"Comedy , Drama ",46min,TV-14,NULL
81,Mindhunter,8.6 (261k),"Drama , Crime , Mystery & Thriller ",53min,TV-MA,NULL
82,Intimacy,6.8,"Drama , Crime , Mystery & Thriller ",49min,TV-MA,NULL
83,Manifest,7.1 (50k),"Science-Fiction , Drama , Mystery & Thriller ",42min,TV-14,NULL
84,Pieces of Her,6.3 (19k),"Drama , Mystery & Thriller , Crime ",52min,TV-MA,Minkie Spiro 
85,The Mole,7.6 (1k),Reality TV ,50min,TV-14,NULL
86,After Life,8.5 (127k),"Drama , Comedy ",28min,TV-MA,NULL
87,Forged in Fire,8.3 (3k),Reality TV ,41min,TV-PG,NULL
88,Are You The One?,6.4 (2k),Reality TV ,41min,TV-14,NULL
89,I Think You Should Leave with Tim Robinson,7.9 (11k),Comedy ,16min,TV-MA,NULL
90,Sex Education,8.3 (251k),"Drama , Comedy ",52min,TV-MA,NULL
91,Food Wars! Shokugeki no Soma,8.2 (9k),"Drama , Comedy , Animation , Fantasy , Mystery & Thriller ",24min,TV-MA,NULL
