,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
55,Dr. No,7.2 (164k),"Mystery & Thriller , Action & Adventure ",1h 50min,PG,Terence Young 
56,K.G.F: Chapter 2,8.6 (104k),"Mystery & Thriller , Action & Adventure , Crime , Drama ",2h 48min,NULL,Prashanth Neel 
57,We Need to Talk About Kevin,7.5 (152k),"Drama , Mystery & Thriller ",1h 46min,R,Lynne Ramsay 
58,Quantum of Solace,6.6 (442k),"Mystery & Thriller , Crime , Action & Adventure ",1h 46min,PG-13,Marc Forster 
59,The Gift,6.7 (68k),"Mystery & Thriller , Horror , Documentary , Action & Adventure , Drama , Fantasy , Made in Europe ",1h 52min,R,Sam Raimi 
60,Juno,7.5 (515k),"Drama , Comedy ",1h 36min,PG-13,Jason Reitman 
61,Cast Away,7.8 (569k),"Drama , Romance ",2h 23min,PG-13,Robert Zemeckis 
62,Silence,7.1 (111k),"Drama , History ",2h 41min,R,Martin Scorsese 
63,Bill & Ted's Excellent Adventure,6.9 (129k),"Action & Adventure , Comedy , Science-Fiction , Music & Musical , Romance ",1h 30min,PG,Stephen Herek 
64,Braveheart,8.4 (1m),"History , War & Military , Action & Adventure , Drama ",2h 57min,R,Mel Gibson 
65,The Saint,6.2 (67k),"Science-Fiction , Mystery & Thriller , Action & Adventure , Romance ",1h 56min,PG-13,Phillip Noyce 
66,Thief,7.4 (30k),"Crime , Mystery & Thriller , Action & Adventure , Drama ",2h 3min,R,Michael Mann 
67,My Fake Boyfriend,4.7,"Comedy , Romance ",1h 40min,R,Rose Troche 
68,The Conversation,7.8 (110k),"Drama , Mystery & Thriller ",1h 53min,PG,Francis Ford Coppola 
69,Force Majeure,7.3 (53k),"Drama , Comedy , Made in Europe ",1h 58min,R,Ruben Östlund 
70,Sideways,7.5 (189k),"Comedy , Drama , Romance ",2h 7min,R,Alexander Payne 
71,Fences,7.2 (106k),Drama ,2h 18min,PG-13,Denzel Washington 
72,The Oak Room,NULL,NULL,NULL,NULL,NULL
73,The Wolf of Snow Hollow,6.2 (19k),"Mystery & Thriller , Horror , Comedy ",1h 24min,R,Jim Cummings 
74,Road to Perdition,7.7 (264k),"Mystery & Thriller , Documentary , Crime , Drama ",1h 57min,R,Sam Mendes 
75,Love and Monsters,6.9 (122k),"Comedy , Fantasy , Science-Fiction , Action & Adventure ",1h 49min,PG-13,Michael Matthews 
76,The Terminal,7.4 (441k),"Drama , Comedy , Romance ",2h 9min,PG-13,Steven Spielberg 
77,Cosmopolis,5.1 (47k),"Drama , Made in Europe , Crime , Fantasy , Mystery & Thriller ",1h 49min,R,David Cronenberg 
78,Snake Eyes: G.I. Joe Origins,5.3 (36k),"Action & Adventure , Crime , Fantasy , Science-Fiction , Mystery & Thriller ",2h 1min,PG-13,Robert Schwentke 
79,World War Z,7.0 (651k),"Mystery & Thriller , Action & Adventure , Horror , Science-Fiction ",1h 56min,PG-13,Marc Forster 
80,(500) Days of Summer,7.7 (505k),"Drama , Romance , Comedy ",1h 35min,PG-13,Marc Webb 
81,Mr. Jones,6.9 (11k),"Mystery & Thriller , Drama , Made in Europe ",1h 59min,NULL,Agnieszka Holland 
82,Carrie,7.4 (183k),"Horror , Mystery & Thriller ",1h 38min,R,Brian De Palma 
83,Unbreakable,7.3 (411k),"Mystery & Thriller , Science-Fiction , Drama , Made in Europe ",1h 46min,PG-13,M. Night Shyamalan 
84,The Transporter,6.8 (300k),"Mystery & Thriller , Action & Adventure , Crime , Made in Europe ",1h 32min,PG-13,Louis Leterrier 
85,Saint Maud,6.7 (33k),"Horror , Drama , Mystery & Thriller ",1h 25min,R,Rose Glass 
86,Rushmore,7.6 (183k),"Drama , Comedy , Romance ",1h 29min,R,Wes Anderson 
87,Dallas Buyers Club,7.9 (478k),Drama ,1h 57min,R,Jean-Marc Vallée 
88,Inside Llewyn Davis,7.4 (152k),"Drama , Comedy , Music & Musical , Made in Europe ",1h 44min,R,Ethan Coen 
89,Valkyrie,7.1 (241k),"Drama , Mystery & Thriller , War & Military , History , Made in Europe ",2h 1min,PG-13,Bryan Singer 
90,Raging Bull,8.2 (347k),"Drama , Sport ",2h 9min,R,Martin Scorsese 
91,Suspiria,6.7 (74k),"Mystery & Thriller , Horror , Fantasy , Drama , Made in Europe ",2h 32min,R,Luca Guadagnino 
92,Election,7.3 (96k),"Comedy , Romance , Drama ",1h 43min,R,Alexander Payne 
93,Philadelphia,7.7 (238k),Drama ,2h 5min,PG-13,Jonathan Demme 
94,White God,6.9 (16k),"Drama , Made in Europe , Mystery & Thriller , Horror , Comedy , Fantasy ",2h 0min,R,Kornél Mundruczó 
95,Apocalypto,7.8 (309k),"Drama , Action & Adventure , Mystery & Thriller ",2h 19min,R,Mel Gibson 
96,Vivarium,5.8 (55k),"Science-Fiction , Horror , Comedy ",1h 37min,R,Lorcan Finnegan 
97,Pearl Harbor,6.2 (329k),"Action & Adventure , Romance , Drama , History , War & Military ",3h 4min,PG-13,Michael Bay 
98,Lincoln,7.3 (258k),"Drama , History , War & Military ",2h 30min,PG-13,Steven Spielberg 
99,As Good as It Gets,7.7 (295k),"Romance , Comedy , Drama ",2h 19min,PG-13,James L. Brooks 
100,Where the Truth Lies,6.5 (17k),"Mystery & Thriller , Drama , Crime ",1h 47min,R,Atom Egoyan 
101,Sound of Metal,7.7 (118k),"Drama , Music & Musical ",2h 1min,R,Darius Marder 
102,Most Dangerous Game,NULL,NULL,NULL,NULL,NULL
103,Paths of Glory,8.4 (193k),"Drama , War & Military ",1h 27min,NULL,Stanley Kubrick 
104,Clifford the Big Red Dog,5.9 (12k),"Kids & Family , Action & Adventure , Comedy , Fantasy , Animation , Romance ",1h 37min,PG,Walt Becker 
105,Sleepy Hollow,7.3 (354k),"Fantasy , Mystery & Thriller , Horror ",1h 45min,R,Tim Burton 
106,The Hitchhiker's Guide to the Galaxy,6.7 (197k),"Science-Fiction , Comedy ",1h 49min,PG,Garth Jennings 
107,Phil Tippett: Mad Dreams and Monsters,7.1,Documentary ,1h 20min,NULL,Gilles Penso 
108,Highlander,7.1 (133k),"Fantasy , Action & Adventure ",1h 56min,R,Russell Mulcahy 
109,Tank Girl,5.3 (32k),"Action & Adventure , Comedy , Fantasy , Science-Fiction ",1h 38min,R,Rachel Talalay 
110,Annie Hall,8.0 (263k),"Drama , Romance , Comedy ",1h 33min,PG,Woody Allen 
111,The Doors,7.2 (91k),"Drama , Music & Musical , Made in Europe ",2h 20min,R,Oliver Stone 
112,Delicious,6.9 (2k),"Drama , Comedy , History ",1h 52min,NULL,Éric Besnard 
113,The Protégé,6.1 (29k),"Mystery & Thriller , Action & Adventure , Crime ",1h 49min,R,Martin Campbell 
114,"Good Morning, Vietnam",7.3 (138k),"Drama , Comedy , War & Military ",1h 56min,R,Barry Levinson 
115,Bound,7.3 (55k),"Drama , Mystery & Thriller , Romance , Crime ",1h 45min,R,Lana Wachowski 
116,Enemy of the State,7.3 (241k),"Mystery & Thriller , Action & Adventure ",2h 12min,R,Tony Scott 
117,Honeydew,4.4 (1k),"Horror , Mystery & Thriller ",1h 46min,R,Devereux Milburn 
118,Explorers,6.4 (21k),"Science-Fiction , Comedy , Kids & Family , Romance ",1h 49min,PG,Joe Dante 
119,Hotel Transylvania: Transformania,6.0 (27k),"Fantasy , Horror , Animation , Comedy , Kids & Family , Science-Fiction , Romance ",1h 37min,PG,Derek Drymon 
120,Suicide Forest Village,5.0,"Horror , Drama ",1h 57min,NULL,Takashi Shimizu 
121,Bill & Ted Face the Music,5.9 (45k),"Science-Fiction , Comedy , Music & Musical ",1h 32min,PG-13,Dean Parisot 
122,Beyond the Infinite Two Minutes,7.3 (1k),"Science-Fiction , Comedy ",1h 10min,NULL,Junta Yamaguchi 
123,District 9,7.9 (672k),"Science-Fiction , Action & Adventure , Mystery & Thriller ",1h 53min,R,Neill Blomkamp 
124,Black Bear,6.5 (10k),"Drama , Comedy , Mystery & Thriller ",1h 44min,R,Lawrence Michael Levine 
125,Oculus,6.5 (127k),Horror ,1h 44min,R,Mike Flanagan 
126,The Lost City of Z,6.6 (89k),"Drama , History , Action & Adventure , Made in Europe ",2h 21min,PG-13,James Gray 
127,The Stairs,3.8 (1k),"Science-Fiction , Horror ",1h 33min,NULL,NULL
128,Goldfinger,7.7 (187k),"Mystery & Thriller , Action & Adventure ",1h 50min,PG,Guy Hamilton 
129,I Love You Phillip Morris,6.6 (95k),"Drama , Romance , Comedy , Crime ",1h 38min,R,John Requa 
130,Half Baked,6.6 (63k),"Crime , Comedy ",1h 22min,R,Tamra Davis 
131,The Man Who Shot Liberty Valance,8.1 (75k),"Western , Drama ",2h 3min,PG-13,John Ford 
132,I Think We're Alone Now,5.7 (9k),"Science-Fiction , Drama , Mystery & Thriller , Horror ",1h 40min,R,Reed Morano 
133,Meatballs,6.2 (21k),Comedy ,1h 33min,PG,Ivan Reitman 
134,Sweet Smell of Success,8.0 (31k),"Drama , Made in Europe ",1h 37min,NULL,Alexander Mackendrick 
135,Ghost World,7.3 (120k),"Comedy , Drama , Made in Europe ",1h 51min,R,Terry Zwigoff 
136,Black Snake Moan,6.9 (63k),"Drama , Music & Musical , Made in Europe ",1h 56min,R,Craig Brewer 
137,The Best Years of Our Lives,8.1 (63k),"Romance , War & Military , Drama ",2h 51min,NULL,William Wyler 
138,The Thomas Crown Affair,6.8 (92k),"Drama , Crime , Romance , Mystery & Thriller ",1h 53min,R,John McTiernan 
139,Open Range,7.4 (72k),"Western , Romance , Action & Adventure , Drama ",2h 19min,R,Kevin Costner 
140,You Were Never Really Here,6.8 (116k),"Mystery & Thriller , Crime , Drama ",1h 29min,R,Lynne Ramsay 
141,The Neon Demon,6.2 (92k),"Horror , Mystery & Thriller , Made in Europe ",1h 58min,R,Nicolas Winding Refn 
142,The Tender Bar,6.7 (25k),Drama ,1h 46min,R,George Clooney 
143,She's Out of My League,6.4 (136k),"Romance , Comedy ",1h 44min,R,Jim Field Smith 
144,I Want You Back,6.6 (15k),"Comedy , Romance , Kids & Family ",1h 57min,R,Jason Orley 
145,27 Dresses,6.1 (163k),"Romance , Comedy ",1h 51min,PG-13,Anne Fletcher 
146,The Curious Case of Benjamin Button,7.8 (638k),"Fantasy , Romance , Drama ",2h 46min,PG-13,David Fincher 
147,Dear Zachary: A Letter to a Son About His Father,8.5 (36k),"Crime , Documentary , Drama ",1h 55min,NULL,Kurt Kuenne 
148,The Pizzagate Massacre,4.4,"Comedy , Mystery & Thriller , Action & Adventure , Crime ",1h 31min,R,John Valley 
149,Three Days of the Condor,7.4 (54k),"Mystery & Thriller , Crime ",1h 57min,R,Sydney Pollack 
150,The Hills Have Eyes,6.4 (169k),"Mystery & Thriller , Action & Adventure , Horror ",1h 44min,R,Alexandre Aja 
151,The Wiz,5.4 (15k),"Fantasy , Kids & Family ",2h 14min,G,Sidney Lumet 
152,Archive,6.3 (20k),"Mystery & Thriller , Drama , Fantasy , Science-Fiction ",1h 49min,R,Gavin Rothery 
153,Hellraiser,6.9 (118k),"Horror , Mystery & Thriller ",1h 34min,R,Clive Barker 
154,In a Lonely Place,7.9 (31k),"Mystery & Thriller , Drama , Romance ",1h 34min,NULL,Nicholas Ray 
155,Odd Thomas,6.8 (52k),"Mystery & Thriller , Romance , Comedy , Fantasy , Horror ",1h 40min,PG-13,Stephen Sommers 
156,Fire in the Sky,6.5 (24k),"Science-Fiction , Drama , Fantasy ",1h 49min,PG-13,Rob Lieberman 
157,The Courier,7.1 (56k),"History , Mystery & Thriller , War & Military , Drama ",1h 52min,PG-13,Dominic Cooke 
158,Star Trek Into Darkness,7.7 (480k),"Science-Fiction , Action & Adventure ",2h 9min,PG-13,J.J. Abrams 
159,The Tomorrow War,6.6 (189k),"Science-Fiction , Action & Adventure , Drama , Mystery & Thriller , War & Military ",2h 18min,PG-13,Chris McKay 
160,The Boondock Saints,7.7 (237k),"Mystery & Thriller , Crime , Action & Adventure ",1h 48min,R,Troy Duffy 
161,The City of Lost Children,7.5 (68k),"Fantasy , Made in Europe , Drama , Science-Fiction ",1h 48min,R,Jean-Pierre Jeunet 
162,Rumble,5.9 (5k),"Comedy , Fantasy , Sport , Drama , Romance , Animation , Kids & Family ",1h 35min,PG,NULL
163,The Guardian,4.2,"Drama , Horror , Romance , Mystery & Thriller , Action & Adventure ",2h 16min,PG-13,Andrew Davis 
164,Garden State,7.4 (215k),"Romance , Comedy , Drama ",1h 42min,R,Zach Braff 
165,Bombshell,6.8 (111k),Drama ,1h 34min,R,Jay Roach 
166,A Man Called Ove,7.7 (53k),"Drama , Comedy , Made in Europe , Romance ",1h 56min,PG-13,Hannes Holm 
167,The Poughkeepsie Tapes,6.0 (19k),"Horror , Crime , Mystery & Thriller ",1h 21min,R,John Erick Dowdle 
168,In Order of Disappearance,7.1 (26k),"Crime , Mystery & Thriller , Action & Adventure , Comedy , Made in Europe , Drama ",1h 55min,R,Hans Petter Moland 
169,Flight,7.3 (348k),"Drama , Mystery & Thriller , Made in Europe ",2h 18min,R,Robert Zemeckis 
170,Valley Girl,6.4 (15k),"Comedy , Romance ",1h 39min,R,Martha Coolidge 
171,Invasion of the Body Snatchers,7.4 (59k),"Horror , Science-Fiction ",1h 55min,PG,Philip Kaufman 
172,From Russia with Love,7.4 (132k),"Mystery & Thriller , Action & Adventure ",1h 55min,PG,Terence Young 
173,Pain & Gain,6.4 (215k),"Crime , Comedy , Drama , Mystery & Thriller , Action & Adventure ",2h 10min,R,Michael Bay 
174,The Twilight Saga: New Moon,4.7 (281k),"Fantasy , Drama , Romance ",2h 10min,PG-13,Chris Weitz 
175,Last Shift,5.8 (18k),"Horror , Mystery & Thriller ",1h 28min,R,Anthony DiBlasi 
176,Pride,7.8 (55k),"Comedy , Drama , History , Romance ",1h 59min,R,Matthew Warchus 
177,Paper Moon,8.1 (47k),"Crime , Drama , Comedy ",1h 42min,PG,Peter Bogdanovich 
178,Being the Ricardos,6.5 (39k),"Drama , History ",2h 12min,R,Aaron Sorkin 
179,Teenage Mutant Ninja Turtles: Out of the Shadows,5.9 (92k),"Science-Fiction , Crime , Animation , Action & Adventure , Comedy ",1h 52min,PG-13,Dave Green 
180,Whip It,6.9 (67k),"Drama , Sport ",1h 50min,PG-13,Drew Barrymore 
181,Marathon Man,7.4 (63k),"Mystery & Thriller , Drama , Crime , Made in Europe ",2h 5min,R,John Schlesinger 
182,Shrek Forever After,6.3 (201k),"Fantasy , Comedy , Kids & Family , Romance , Animation ",1h 33min,PG,Mike Mitchell 
183,The Oxford Murders,6.1 (29k),"Crime , Mystery & Thriller , Horror , Made in Europe ",1h 48min,R,Álex de la Iglesia 
184,The Argument,4.7,Comedy ,1h 21min,NULL,Robert Schwartzman 
185,The General,8.2 (90k),"Drama , Comedy , Action & Adventure , War & Military , Western , Made in Europe ",1h 19min,NULL,Clyde Bruckman 
186,The Last Waltz,8.1 (17k),"Music & Musical , Documentary ",1h 57min,PG,Martin Scorsese 
187,Runway 34,7.3 (17k),"Mystery & Thriller , Drama ",2h 25min,NULL,Ajay Devgn 
188,The Map of Tiny Perfect Things,6.8 (21k),"Romance , Comedy , Fantasy ",1h 38min,PG-13,Ian Samuels 
189,The Girl with the Dragon Tattoo,7.8 (215k),"Mystery & Thriller , Made in Europe , Crime , Drama ",2h 32min,R,Niels Arden Oplev 
190,The Virgin Suicides,7.2 (153k),"Romance , Drama ",1h 36min,R,Sofia Coppola 
191,Paranormal Activity,6.3 (236k),"Horror , Mystery & Thriller ",1h 25min,R,Oren Peli 
192,Death Trip,2.7,"Horror , Mystery & Thriller ",1h 41min,NULL,James Watts 
193,Charade,7.9 (76k),"Romance , Mystery & Thriller , Comedy ",1h 53min,PG-13,Stanley Donen 
194,Serena,5.4 (28k),"Drama , History , Romance ",1h 42min,R,Susanne Bier 
195,On Her Majesty's Secret Service,6.8 (90k),"Mystery & Thriller , Action & Adventure ",2h 22min,PG,Peter R. Hunt 
196,Faults,6.7 (8k),"Drama , Comedy , Crime , Mystery & Thriller ",1h 30min,NULL,Riley Stearns 
197,I Am Love,7.0 (22k),"Romance , Drama , Made in Europe ",2h 0min,R,Luca Guadagnino 
198,Under the Tuscan Sun,6.7 (52k),"Romance , Comedy , Drama ",1h 53min,PG-13,Audrey Wells 
199,Two Night Stand,6.3 (69k),"Romance , Comedy ",1h 26min,R,Max Nichols 
200,Rescue Dawn,7.3 (105k),"War & Military , Action & Adventure , Drama , Mystery & Thriller ",2h 5min,PG-13,Werner Herzog 
201,Annette,6.4 (16k),"Drama , Romance ",2h 21min,R,Leos Carax 
202,The Big Sick,7.5 (132k),"Comedy , Drama , Romance ",2h 0min,R,Michael Showalter 
203,Allied,7.1 (153k),"Mystery & Thriller , War & Military , Action & Adventure , Drama , Romance ",2h 4min,R,Robert Zemeckis 
204,GoldenEye,7.2 (254k),"Mystery & Thriller , Action & Adventure ",2h 10min,PG-13,Martin Campbell 
205,Live and Let Die,6.7 (106k),"Mystery & Thriller , Action & Adventure ",2h 1min,PG,Guy Hamilton 
206,Judy,6.8 (49k),"Drama , Romance , History , Made in Europe ",1h 53min,PG-13,Rupert Goold 
207,The Longest Yard,7.1 (18k),"Drama , Comedy , Crime , Sport ",2h 1min,R,Robert Aldrich 
208,Stealth,5.0 (53k),"Science-Fiction , Action & Adventure , Mystery & Thriller ",2h 1min,PG-13,Rob Cohen 
209,Tangerine,7.1 (31k),"Comedy , Drama , Crime ",1h 27min,R,Sean Baker 
210,Ordinary People,7.7 (51k),Drama ,1h 59min,R,Robert Redford 
211,"It's a Mad, Mad, Mad, Mad World",7.5 (41k),"Comedy , Crime , Action & Adventure ",2h 39min,G,Stanley Kramer 
212,Fisherman’s Friends,7.0 (9k),"Comedy , Drama , Music & Musical , Kids & Family ",1h 52min,PG-13,Chris Foggin 
213,Bill & Ted's Bogus Journey,6.3 (75k),"Science-Fiction , Fantasy , Music & Musical , Comedy ",1h 33min,PG,Peter Hewitt 
214,The Burning Plain,6.8 (20k),"Crime , Romance , Drama , Documentary ",1h 42min,R,Guillermo Arriaga 
215,Nebraska,7.7 (117k),"Action & Adventure , Drama , Comedy ",1h 55min,R,Alexander Payne 
216,White Sky,2.8,"Horror , Action & Adventure , Science-Fiction ",1h 45min,NULL,Adam Wilson 
217,Red Dawn,5.3 (77k),"Action & Adventure , Mystery & Thriller , Drama , Crime , Science-Fiction , War & Military ",1h 54min,PG-13,Dan Bradley 
218,World's Greatest Dad,6.9 (38k),"Comedy , Drama ",1h 38min,R,Bobcat Goldthwait 
219,Europa Report,6.4 (70k),"Mystery & Thriller , Drama , Science-Fiction , Action & Adventure ",1h 30min,PG-13,Sebastián Cordero 
220,Jiro Dreams of Sushi,7.8 (35k),Documentary ,1h 22min,PG,David Gelb 
221,Come As You Are,7.0 (3k),"Comedy , Drama ",1h 46min,NULL,Richard Wong 
222,The Goldfinch,6.3 (22k),Drama ,2h 29min,R,John Crowley 
