,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
51,WALL·E,8.4 (1m),"Science-Fiction , Animation , Kids & Family , Fantasy , Romance ",1h 44min,G,Andrew Stanton 
52,Pirates of the Caribbean: On Stranger Tides,6.6 (518k),"Fantasy , Action & Adventure ",2h 21min,PG-13,Rob Marshall 
53,Return to Oz,6.7 (27k),"Fantasy , Horror , Kids & Family ",1h 49min,PG,Walter Murch 
54,The Princess Diaries,6.3 (142k),"Comedy , Romance , Kids & Family ",1h 55min,G,Garry Marshall 
55,Flight of the Navigator,6.9 (47k),"Science-Fiction , Comedy , Kids & Family ",1h 30min,PG,Randal Kleiser 
56,Heavyweights,6.6 (27k),"Comedy , Drama , Kids & Family , Sport ",1h 37min,PG,Steven Brill 
57,Inside Out,8.2 (692k),"Comedy , Drama , Kids & Family , Fantasy , Science-Fiction , Animation ",1h 35min,PG,Pete Docter 
58,The Straight Story,8.0 (89k),Drama ,1h 52min,G,David Lynch 
59,Hollywood Stargirl,5.6,"Romance , Comedy , Drama , Kids & Family ",1h 45min,PG,Julia Hart 
60,Avengers: Endgame,8.4 (1m),"Science-Fiction , Drama , Fantasy , Action & Adventure ",3h 2min,PG-13,Anthony Russo 
61,Alice in Wonderland,6.4 (409k),"Fantasy , Kids & Family ",1h 50min,PG,Tim Burton 
62,Rise,NULL,NULL,NULL,NULL,NULL
63,Cruella,7.3 (223k),"Crime , Action & Adventure , Comedy , Drama ",2h 14min,PG-13,Craig Gillespie 
64,Iron Man,7.9 (1m),"Science-Fiction , Action & Adventure ",2h 6min,PG-13,Jon Favreau 
65,The Rocketeer,6.5 (57k),"Science-Fiction , Action & Adventure , Kids & Family ",1h 48min,PG,Joe Johnston 
66,While You Were Sleeping,6.7 (101k),"Romance , Comedy , Drama ",1h 43min,PG,Jon Turteltaub 
67,Splash,6.3 (76k),"Romance , Fantasy , Comedy ",1h 51min,PG,Ron Howard 
68,Star Wars: Episode I - The Phantom Menace,6.5 (787k),"Science-Fiction , Action & Adventure , Fantasy ",2h 16min,PG,George Lucas 
69,Miss Peregrine's Home for Peculiar Children,6.7 (169k),"Fantasy , Kids & Family , Mystery & Thriller , Drama , Made in Europe ",2h 7min,PG-13,Tim Burton 
70,Fantastic Four,4.3 (164k),"Science-Fiction , Action & Adventure , Drama ",1h 40min,PG-13,Simon Kinberg 
71,Dark Phoenix,5.7 (176k),"Science-Fiction , Action & Adventure ",1h 54min,PG-13,Simon Kinberg 
72,"Honey, I Shrunk the Kids",6.4 (152k),"Science-Fiction , Comedy , Kids & Family ",1h 33min,PG,Joe Johnston 
73,Toy Story,8.3 (969k),"Comedy , Animation , Kids & Family , Fantasy ",1h 17min,G,John Lasseter 
74,Enchanted,7.1 (195k),"Fantasy , Romance , Animation , Comedy , Kids & Family ",1h 47min,PG,Kevin Lima 
75,Tron,6.7 (120k),"Science-Fiction , Action & Adventure ",1h 36min,PG,Steven Lisberger 
76,Never Been Kissed,6.0 (90k),"Romance , Drama , Comedy ",1h 47min,PG-13,Raja Gosnell 
77,Home Alone,7.7 (553k),"Comedy , Kids & Family ",1h 43min,PG,Chris Columbus 
78,Thor,7.0 (823k),"Fantasy , Action & Adventure , Science-Fiction ",1h 54min,PG-13,Kenneth Branagh 
79,Pirates of the Caribbean: At World's End,7.1 (639k),"Fantasy , Action & Adventure ",2h 41min,PG-13,Gore Verbinski 
80,Treasure Planet,7.1 (115k),"Fantasy , Science-Fiction , Animation , Kids & Family ",1h 35min,PG,John Musker 
81,The Fault in Our Stars,7.7 (370k),"Romance , Drama ",2h 6min,PG-13,Josh Boone 
82,Rogue One: A Star Wars Story,7.8 (611k),"Action & Adventure , Science-Fiction ",2h 13min,PG-13,Gareth Edwards 
83,Fantastic Four,5.7 (327k),"Science-Fiction , Action & Adventure , Fantasy , Kids & Family ",1h 46min,PG-13,Tim Story 
84,Ice Age,7.5 (475k),"Comedy , Kids & Family , Fantasy , Animation ",1h 21min,PG,Chris Wedge 
85,Ratatouille,8.1 (709k),"Fantasy , Drama , Animation , Comedy , Kids & Family ",1h 51min,G,Brad Bird 
86,Sky High,6.3 (86k),"Comedy , Kids & Family , Science-Fiction , Action & Adventure ",1h 39min,PG,Mike Mitchell 
87,Avengers: Infinity War,8.4 (1m),"Science-Fiction , Action & Adventure , Fantasy ",2h 29min,PG-13,Anthony Russo 
88,Captain Marvel,6.8 (521k),"Science-Fiction , Action & Adventure ",2h 4min,PG-13,Anna Boden 
89,John Carter,6.6 (269k),"Science-Fiction , Action & Adventure , Made in Europe ",2h 12min,PG-13,Andrew Stanton 
90,X-Men: First Class,7.7 (682k),"Action & Adventure , Science-Fiction ",2h 11min,PG-13,Matthew Vaughn 
91,Moana,7.6 (319k),"Comedy , Kids & Family , Fantasy , Animation ",1h 47min,PG,Ron Clements 
92,X-Men: Days of Future Past,7.9 (701k),"Fantasy , Action & Adventure , Science-Fiction , Mystery & Thriller ",2h 29min,PG-13,Bryan Singer 
93,Guardians of the Galaxy Vol. 2,7.6 (656k),"Action & Adventure , Science-Fiction , Comedy ",2h 16min,PG-13,James Gunn 
94,Sister Act,6.4 (97k),"Comedy , Kids & Family , Music & Musical , Crime ",1h 40min,PG,Emile Ardolino 
95,The Avengers,8.0 (1m),"Action & Adventure , Science-Fiction ",2h 22min,PG-13,Joss Whedon 
96,Soul,8.0 (312k),"Fantasy , Kids & Family , Music & Musical , Science-Fiction , Animation , Comedy , Drama ",1h 40min,PG,Pete Docter 
97,Freaky Friday,6.3 (136k),"Fantasy , Music & Musical , Romance , Comedy , Kids & Family ",1h 33min,PG,Mark Waters 
98,National Treasure: Book of Secrets,6.5 (234k),"Mystery & Thriller , Kids & Family , Action & Adventure ",1h 53min,PG,Jon Turteltaub 
99,Black Panther,7.3 (707k),"Science-Fiction , Action & Adventure ",2h 14min,PG-13,Ryan Coogler 
100,The Emperor's New Groove,7.4 (199k),"Comedy , Fantasy , Animation , Kids & Family ",1h 18min,G,Mark Dindal 
101,The Incredibles,8.0 (715k),"Kids & Family , Action & Adventure , Animation ",1h 55min,PG,Brad Bird 
102,Doctor Dolittle,5.4 (96k),"Fantasy , Comedy , Kids & Family ",1h 25min,PG-13,Betty Thomas 
103,James and the Giant Peach,6.7 (66k),"Fantasy , Animation , Kids & Family ",1h 19min,PG,Henry Selick 
104,Up,8.3 (1m),"Comedy , Kids & Family , Animation , Drama ",1h 32min,PG,Pete Docter 
105,Star Wars: The Rise of Skywalker,6.5 (434k),"Science-Fiction , Drama , Fantasy , Action & Adventure , Made in Europe ",2h 22min,PG-13,J.J. Abrams 
106,Luca,7.5 (138k),"Fantasy , Comedy , Kids & Family , Animation ",2h 39min,PG,Enrico Casarosa 
107,Star Wars: The Clone Wars,5.9 (65k),"Action & Adventure , Science-Fiction , Animation , Kids & Family , Fantasy ",1h 38min,PG,Dave Filoni 
108,Solo: A Star Wars Story,6.9 (325k),"Action & Adventure , Science-Fiction , Fantasy ",2h 15min,PG-13,Ron Howard 
109,We Bought a Zoo,7.1 (142k),"Drama , Comedy , Kids & Family ",2h 4min,PG,Cameron Crowe 
110,Big Hero 6,7.8 (450k),"Kids & Family , Animation , Action & Adventure , Comedy , Science-Fiction , Drama ",1h 42min,PG,Don Hall 
111,Mary Poppins,7.8 (170k),"Fantasy , Comedy , Kids & Family ",2h 19min,G,Robert Stevenson 
112,The Empire Strikes Back,8.7 (1m),"Science-Fiction , Action & Adventure , Fantasy ",2h 4min,PG,Irvin Kershner 
113,The Muppet Movie,7.6 (35k),"Comedy , Kids & Family ",1h 37min,G,James Frawley 
114,Captain America: The First Avenger,6.9 (824k),"Science-Fiction , Action & Adventure ",2h 4min,PG-13,Joe Johnston 
115,Dan in Real Life,6.8 (102k),"Comedy , Drama , Romance ",1h 38min,PG-13,Peter Hedges 
116,Oklahoma!,7.0 (12k),"Western , Romance , Comedy , Drama ",2h 28min,G,Fred Zinnemann 
117,X-Men Origins: Wolverine,6.5 (497k),"Mystery & Thriller , Action & Adventure , Science-Fiction ",2h 0min,PG-13,Gavin Hood 
