,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
28,Léon: The Professional,8.5 (1m),"Crime , Mystery & Thriller , Action & Adventure , Drama , Made in Europe ",1h 51min,R,Luc Besson 
29,When Harry Met Sally...,7.7 (214k),"Romance , Drama , Comedy ",1h 36min,R,Rob Reiner 
30,Stand by Me,8.1 (394k),Drama ,1h 28min,R,Rob Reiner 
31,Hell or High Water,7.6 (226k),"Western , Drama , Action & Adventure , Crime , Mystery & Thriller ",1h 42min,R,David Mackenzie 
32,Inception,8.8 (2m),"Science-Fiction , Music & Musical , Action & Adventure , Mystery & Thriller ",2h 28min,PG-13,Christopher Nolan 
33,Disappearance at Clifton Hill,5.4 (3k),"Mystery & Thriller , Drama ",1h 40min,NULL,Albert Shin 
34,Taxi Driver,8.2 (803k),"Drama , Crime ",1h 53min,R,Martin Scorsese 
35,Forgetting Sarah Marshall,7.1 (281k),"Drama , Romance , Comedy ",1h 51min,R,Nicholas Stoller 
36,Vice,7.2 (139k),"Drama , Comedy , Documentary ",2h 12min,R,Adam McKay 
37,Senior Year,5.5 (31k),"Comedy , Drama ",1h 51min,R,Alex Hardcastle 
38,Once Upon a Time in America,8.3 (344k),"Drama , Crime , Made in Europe ",3h 49min,R,Sergio Leone 
39,Dunkirk,7.8 (619k),"Action & Adventure , War & Military , Drama , History , Mystery & Thriller , Made in Europe ",1h 46min,PG-13,Christopher Nolan 
40,The Hurt Locker,7.5 (445k),"Mystery & Thriller , War & Military , Drama ",2h 11min,R,Kathryn Bigelow 
41,Dumb and Dumber,7.3 (378k),Comedy ,1h 47min,PG-13,Peter Farrelly 
42,Ricky Gervais: SuperNature,7.8 (3k),Comedy ,1h 4min,NULL,John L. Spencer 
43,Starship Troopers,7.3 (290k),"Science-Fiction , Mystery & Thriller , Action & Adventure ",2h 9min,R,Paul Verhoeven 
44,The Other Guys,6.6 (264k),"Comedy , Crime , Action & Adventure ",1h 47min,NULL,Adam McKay 
45,Wind River,7.7 (242k),"Mystery & Thriller , Drama , Western , Crime ",1h 47min,R,Taylor Sheridan 
46,Jackass 4.5,NULL,NULL,NULL,NULL,NULL
47,Full Metal Jacket,8.3 (726k),"Drama , War & Military ",1h 56min,R,Stanley Kubrick 
48,Her,8.0 (595k),"Science-Fiction , Romance , Drama ",2h 6min,R,Spike Jonze 
49,Charlie and the Chocolate Factory,6.7 (470k),"Fantasy , Comedy , Kids & Family ",1h 55min,PG,Tim Burton 
50,Django Unchained,8.4 (1m),"Western , Drama ",2h 45min,R,Quentin Tarantino 
51,"Crazy, Stupid, Love.",7.4 (510k),"Drama , Comedy , Romance ",2h 20min,PG-13,John Requa 
52,Hunt for the Wilderpeople,7.8 (126k),"Drama , Comedy ",1h 41min,PG-13,Taika Waititi 
53,Steel Magnolias,7.3 (54k),"Comedy , Drama , Romance ",1h 59min,PG,Herbert Ross 
54,How to Train Your Dragon,8.1 (724k),"Fantasy , Comedy , Kids & Family , Drama , Animation , Action & Adventure ",1h 38min,PG,Chris Sanders 
55,The Quick and the Dead,6.5 (93k),"Western , Mystery & Thriller , Action & Adventure , Romance ",1h 47min,R,Sam Raimi 
56,Killing Them Softly,6.2 (142k),"Mystery & Thriller , Crime , Drama ",1h 37min,R,Andrew Dominik 
57,Quantum of Solace,6.6 (442k),"Mystery & Thriller , Crime , Action & Adventure ",1h 46min,PG-13,Marc Forster 
58,The Power of the Dog,6.8 (162k),"Drama , Romance , Western ",2h 6min,R,Jane Campion 
59,Troy,7.3 (525k),"War & Military , Action & Adventure , History , Drama , Made in Europe ",2h 43min,R,Wolfgang Petersen 
60,A Nightmare on Elm Street,7.4 (232k),Horror ,1h 31min,R,Wes Craven 
61,Blow,7.5 (257k),"Crime , Drama ",2h 3min,R,Ted Demme 
62,Jennifer Lopez:  Halftime,6.5 (2k),"Documentary , Music & Musical ",1h 35min,NULL,Amanda Micheli 
63,Monty Python and the Holy Grail,8.2 (532k),"Fantasy , Comedy ",1h 31min,PG,Terry Jones 
64,It Follows,6.8 (235k),"Horror , Mystery & Thriller ",1h 40min,R,David Robert Mitchell 
65,Windfall,5.7 (20k),"Crime , Drama , Mystery & Thriller ",1h 32min,R,Charlie McDowell 
66,Gattaca,7.8 (299k),"Mystery & Thriller , Drama , Science-Fiction ",1h 46min,PG-13,Andrew Niccol 
67,Forgotten,7.4 (30k),"Horror , Mystery & Thriller , Science-Fiction ",1h 49min,NULL,Jang Hang-jun 
68,Don't Look Up,7.2 (509k),"Science-Fiction , Drama , Comedy ",2h 18min,R,Adam McKay 
69,The Imitation Game,8.0 (753k),"Mystery & Thriller , Drama , War & Military ",1h 53min,PG-13,Morten Tyldum 
70,Nightcrawler,7.8 (528k),"Mystery & Thriller , Crime , Drama ",1h 57min,R,Dan Gilroy 
71,Into the Wild,8.1 (613k),Drama ,2h 20min,R,Sean Penn 
72,"tick, tick... BOOM!",7.5 (98k),Drama ,2h 0min,PG-13,Lin-Manuel Miranda 
73,Road to Perdition,7.7 (264k),"Mystery & Thriller , Documentary , Crime , Drama ",1h 57min,R,Sam Mendes 
74,Sorry to Bother You,6.9 (75k),"Science-Fiction , Fantasy , Comedy , Drama ",1h 51min,R,Boots Riley 
75,Michael Clayton,7.2 (164k),"Mystery & Thriller , Drama , Crime ",1h 59min,R,Tony Gilroy 
76,The Exorcist,8.1 (394k),Horror ,2h 2min,R,William Friedkin 
77,Looper,7.4 (568k),"Mystery & Thriller , Documentary , Science-Fiction , Crime , Action & Adventure , Drama ",1h 59min,R,Rian Johnson 
78,The Boy,6.0 (90k),"Horror , Mystery & Thriller ",1h 37min,PG-13,William Brent Bell 
79,Our Father,6.5 (8k),"Crime , Documentary ",1h 37min,NULL,Lucie Jourdan 
80,Phantom Thread,7.4 (129k),"Romance , Drama ",2h 10min,R,Paul Thomas Anderson 
81,Den of Thieves,7.0 (108k),"Mystery & Thriller , Action & Adventure , Crime , Drama ",2h 20min,R,Christian Gudegast 
82,Won't You Be My Neighbor?,8.4 (25k),Documentary ,1h 35min,PG-13,Morgan Neville 
83,The Mitchells vs. the Machines,7.6 (102k),"Animation , Comedy , Kids & Family , Science-Fiction ",1h 50min,PG,Michael Rianda 
84,Donnie Brasco,7.7 (302k),"Mystery & Thriller , Drama , Crime ",2h 7min,R,Mike Newell 
85,Nocturnal Animals,7.5 (264k),"Mystery & Thriller , Drama ",1h 56min,R,Tom Ford 
